feed_name,entity_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,current_stop_sequence,current_status,stop_id,timestamp_unix,timestamp_readable,vehicle_id,vehicle_label,latitude,longitude,bearing,odometer,speed,congestion_level,occupancy_status
1234567S,000271,046750_7..S,7,0,,20260512,0,1,1,701S,1778586408,2026-05-12 04:46:48,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000273,048300_7..N,7,0,,20260512,0,1,1,726N,1778587050,2026-05-12 04:57:30,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000275,048800_7..N,7,0,,20260512,0,1,1,726N,1778587732,2026-05-12 05:08:52,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000277,049350_7X..S,7X,0,,20260512,0,1,1,701S,1778587454,2026-05-12 05:04:14,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000279,049700_7..N,7,0,,20260512,0,1,1,726N,1778587875,2026-05-12 05:11:15,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000281,050700_7X..S,7X,0,,20260512,0,1,1,701S,1778588797,2026-05-12 05:26:37,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000283,051150_7X..S,7X,0,,20260512,0,1,1,701S,1778589043,2026-05-12 05:30:43,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000285,051750_7X..S,7X,0,,20260512,0,1,1,701S,1778589261,2026-05-12 05:34:21,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000287,052800_7X..S,7X,0,,20260512,0,1,1,701S,1778589861,2026-05-12 05:44:21,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000289,055900_7X..S,7X,0,,20260512,0,1,1,701S,1778591350,2026-05-12 06:09:10,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000291,057600_7..N,7,0,,20260512,0,1,1,726N,1778592824,2026-05-12 06:33:44,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000293,058350_7..S,7,0,,20260512,0,1,1,701S,1778593377,2026-05-12 06:42:57,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000295,059200_7..N,7,0,,20260512,0,1,1,726N,1778593736,2026-05-12 06:48:56,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000297,067100_7..S,7,0,,20260512,0,1,1,701S,1778598279,2026-05-12 08:04:39,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000299,069600_7..S,7,0,,20260512,0,1,1,701S,1778599396,2026-05-12 08:23:16,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000301,126750_7..N,7,0,,20260512,0,22,2,701N,1778636968,2026-05-12 18:49:28,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000303,127100_7..N,7,0,,20260512,0,22,2,701N,1778636961,2026-05-12 18:49:21,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000305,127450_7..N,7,0,,20260512,0,21,2,702N,1778636958,2026-05-12 18:49:18,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000307,127800_7..N,7,0,,20260512,0,18,0,707N,1778636971,2026-05-12 18:49:31,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000309,128000_7..S,7,0,,20260512,0,18,1,724S,1778636949,2026-05-12 18:49:09,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000311,128150_7..N,7,0,,20260512,0,16,1,709N,1778636965,2026-05-12 18:49:25,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000313,128500_7..N,7,0,,20260512,0,15,0,710N,1778636957,2026-05-12 18:49:17,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000315,128500_7..S,7,0,,20260512,0,16,0,721S,1778636965,2026-05-12 18:49:25,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000317,128850_7..N,7,0,,20260512,0,14,0,711N,1778636964,2026-05-12 18:49:24,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000319,129000_7..S,7,0,,20260512,0,12,1,716S,1778636963,2026-05-12 18:49:23,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000321,129250_7..N,7,0,,20260512,0,10,1,715N,1778636938,2026-05-12 18:48:58,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000323,129500_7..S,7,0,,20260512,0,11,1,715S,1778636966,2026-05-12 18:49:26,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000325,129650_7..N,7,0,,20260512,0,8,1,718N,1778636955,2026-05-12 18:49:15,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000327,130000_7..S,7,0,,20260512,0,7,1,709S,1778636963,2026-05-12 18:49:23,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000329,130050_7..N,7,0,,20260512,0,6,0,720N,1778636964,2026-05-12 18:49:24,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000331,130500_7..S,7,0,,20260512,0,3,1,705S,1778636911,2026-05-12 18:48:31,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000333,130550_7..N,7,0,,20260512,0,3,1,724N,1778636920,2026-05-12 18:48:40,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000336,131050_7..N,7,0,,20260512,0,1,1,726N,1778636701,2026-05-12 18:45:01,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000339,131550_7..N,7,0,,20260512,0,1,1,726N,1778636944,2026-05-12 18:49:04,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000351,052550_7..N,7,0,,20260512,0,1,1,726N,1778589957,2026-05-12 05:45:57,,,0.0,0.0,0.0,0.0,0.0,0,0
1234567S,000353,130850_GS.S04R,GS,0,,20260512,0,2,2,901S,1778636966,2026-05-12 18:49:26,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000002A,120700_A..N55R,A,0,20:06:05,20260512,0,34,1,A05N,1778636932,2026-05-12 18:48:52,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000004A,122350_A..N55R,A,0,20:23:30,20260512,0,30,1,A12N,1778636891,2026-05-12 18:48:11,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000006A,123600_A..S58R,A,0,20:36:00,20260512,0,28,1,H03S,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000008A,123750_A..N54R,A,0,20:37:48,20260512,0,26,1,A06N,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000010A,124700_A..S57R,A,0,20:48:00,20260512,0,23,1,A57S,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000012A,124150_A..N55R,A,0,20:41:30,20260512,0,25,1,A31N,1778636937,2026-05-12 18:48:57,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000014A,125450_A..N54R,A,0,20:54:30,20260512,0,22,1,A15N,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000016A,125700_A..S58R,A,0,20:57:00,20260512,0,21,1,A51S,1778636872,2026-05-12 18:47:52,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000018A,126100_A..N55R,A,0,21:01:00,20260512,0,18,1,A42N,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000020A,126800_A..S57R,A,0,21:08:53,20260512,0,16,1,A40S,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000022A,126900_A..N54R,A,0,21:09:00,20260512,0,17,1,A32N,1778636947,2026-05-12 18:49:07,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000024A,127600_A..N54R,A,0,21:16:00,20260512,0,15,1,A36N,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000026A,128050_A..N55R,A,0,21:20:00,20260512,0,10,1,A61N,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000028A,127900_A..S58R,A,0,21:19:14,20260512,0,12,1,A32S,1778636947,2026-05-12 18:49:07,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000030A,128950_A..S57R,A,0,21:28:13,20260512,0,7,1,A15S,1778636746,2026-05-12 18:45:46,,,0.0,0.0,0.0,0.0,0.0,0,0
ACE,000032A,130300_A..S58R,A,0,21:43:00,20260512,0,4,1,A07S,1778636962,2026-05-12 18:49:22,,,0.0,0.0,0.0,0.0,0.0,0,0
